ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,SourceHash
1,NemoClaw,2|46:RELATES_TO|48:RELATES_TO|41:RELATES_TO|43:RELATES_TO|44:RELATES_TO|42:RELATES_TO|55:RELATES_TO,System,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
2,OpenShell,53:RELATES_TO,Platform,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
3,Sandbox,8|17|7:ENABLES|45:ENABLES,Environment,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
4,OpenClaw,1:ENABLES|32:ENABLES,Agent,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
5,Hermes,1:ENABLES|51,Agent,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
6,LangChain_Deep_Agents_Code,1:ENABLES,Agent,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
7,CLI,1:IMPLEMENTS,Interface,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
8,NemoClaw_Blueprint,9|33,Config,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
9,NetworkPolicy,,Policy,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
10,PolicyTier,9:IMPLEMENTS,Config,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
11,PolicyPreset,9:ENABLES,Config,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
12,Shields,7:IMPLEMENTS|8:RELATES_TO,Control,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
13,L7Proxy,2:IMPLEMENTS|18,Security,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
14,LandlockLSM,2:IMPLEMENTS,Security,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
15,SecurityHardening,3:IMPLEMENTS|8:IMPLEMENTS|14,Security,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
16,CONNECT_Proxy,2:IMPLEMENTS,Component,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
17,InferenceProvider,,Service,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
18,SharedGateway,2:ENABLES|17:IMPLEMENTS,Component,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
19,ModelRouter,17:ENABLES,Service,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
20,vLLM,17:ENABLES|42:RELATES_TO,Runtime,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
21,Ollama,17:ENABLES,Runtime,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
22,NIM_Local,17:ENABLES|41,Runtime,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
23,ProgressiveToolDisclosure,4:IMPLEMENTS|5:IMPLEMENTS|6:IMPLEMENTS,Mechanism,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
24,ContextCompaction,4:IMPLEMENTS,Mechanism,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
25,AgentHeartbeat,1:IMPLEMENTS,Mechanism,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
26,DeclarativeMultiAgentManifest,4:ENABLES,Config,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
27,ManagedMCPServer,1:ENABLES|9|13,Service,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
28,Snapshot,7:ENABLES,Feature,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
29,Skill,3:ENABLES|12:RELATES_TO,Extension,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
30,Plugin,8:ENABLES,Component,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
31,WebSearch,11:ENABLES,Feature,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
32,StarterPrompt,54:ENABLES,Artifact,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
33,CorporateCA,13:ENABLES,Security,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
34,VulnerabilityReporting,15:RELATES_TO,Process,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
35,Telegram,11:ENABLES,Channel,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
36,Discord,11:ENABLES,Channel,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
37,Slack,11:ENABLES,Channel,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
38,WeChat,11:RELATES_TO,Channel,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
39,WhatsApp,11:RELATES_TO,Channel,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
40,Teams,11:RELATES_TO,Channel,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
41,DGX_Spark,,Hardware,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
42,DGX_Station,,Hardware,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
43,macOS_AppleSilicon,,Platform,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
44,WSL2,,Platform,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
45,Brev,,Service,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
46,FOX_Blueprint,,Ecosystem,https://nvidia.com/,sha256:6f2b2c7c2c0afc71693cb4f3425c34a1626b24e6582cbf8423ddd05d19693eb7
47,MoMClaw,46:ENABLES,Deployment,https://nvidia.com/,sha256:6f2b2c7c2c0afc71693cb4f3425c34a1626b24e6582cbf8423ddd05d19693eb7
48,Nemotron_3_Ultra,,Model,https://www.nvidia.com/en-us/ai/,sha256:8d638180bd344d1bfdbf40950a98ceadf48f71fdd058f1d9d04effe9679fae76
49,AgentHarness,32:ENABLES|48:ENABLES,Ecosystem,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
50,OpenShell_TUI,2:ENABLES,Interface,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
51,HermesProvider,,Service,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
52,ContributorOnboarding,29:ENABLES,Process,https://docs.nvidia.com/nemoclaw/latest/,sha256:3d5bc97645f1ea274497ee6b931d9649990504daa9fa9ecc56411c324de0beb8
53,NVIDIA_AgentToolkit,,Platform,https://build.nvidia.com/,sha256:1f35d58554efde0da66cc5bf4bc65bb9fc71886ccfc79b88f8b1f7bfe7d07732
54,DocsRoutingSkill,29:RELATES_TO,Skill,https://docs.nvidia.com/nemoclaw/latest/resources/agent-skills,sha256:5577833f511390830574625b59e90ed291687deaf340238157a0281bd1ca2490
55,LKG_Installer,,Artifact,https://www.nvidia.com/nemoclaw.sh,sha256:00f24959e5ca68104fe91221c0a015dab6a4154618497fa36b969b661f418cc2
